"","EV","ERV","FWER","FDR","Power"
"split_gam5_B=10select=0.9nActive=2",13.401,2,0,0.87009262452428,0
"carve_gam30_B=10select=0.9nActive=2",13.401,2,0,0.87009262452428,0.92
"split_gam30_B=10select=0.9nActive=2",13.401,2,0,0.87009262452428,0
"carve_gam5_B=10select=0.9nActive=50",6.928,8.452,0.02,0.450506130090955,0
"split_gam5_B=10select=0.9nActive=50",6.928,8.452,0,0.450506130090955,0
"carve_gam30_B=10select=0.9nActive=50",6.928,8.452,0.03,0.450506130090955,0
"split_gam30_B=10select=0.9nActive=50",6.928,8.452,0,0.450506130090955,0
"carve_gam5_B=10select=0.9nActive=10",8.195,7.285,0,0.529271127597993,0.062
"split_gam5_B=10select=0.9nActive=10",8.195,7.285,0,0.529271127597993,0
"carve_gam30_B=10select=0.9nActive=10",8.195,7.285,0,0.529271127597993,0.032
"split_gam30_B=10select=0.9nActive=10",8.195,7.285,0,0.529271127597993,0
"carve_gam5_B=10select=0.95nActive=5",11.278,4.106,0.04,0.733188446695669,0.108
"split_gam5_B=10select=0.95nActive=5",11.278,4.106,0,0.733188446695669,0
"carve_gam30_B=10select=0.95nActive=5",11.278,4.106,0,0.733188446695669,0.044
"split_gam30_B=10select=0.95nActive=5",11.278,4.106,0,0.733188446695669,0
"carve_gam5_B=10select=0.95nActive=2",13.32,2,0.01,0.869407173892123,0.9
"split_gam5_B=10select=0.95nActive=2",13.32,2,0,0.869407173892123,0
"carve_gam30_B=10select=0.95nActive=2",13.32,2,0,0.869407173892123,0.805
"split_gam30_B=10select=0.95nActive=2",13.32,2,0,0.869407173892123,0
"carve_gam5_B=10select=0.95nActive=50",6.783,8.555,0.01,0.442309480482282,0.0016
"split_gam5_B=10select=0.95nActive=50",6.783,8.555,0,0.442309480482282,0
"carve_gam30_B=10select=0.95nActive=50",6.783,8.555,0.02,0.442309480482282,0
"split_gam30_B=10select=0.95nActive=50",6.783,8.555,0,0.442309480482282,0
"carve_gam5_B=10select=0.95nActive=10",7.776,7.66,0,0.503619821171084,0.062
"split_gam5_B=10select=0.95nActive=10",7.776,7.66,0,0.503619821171084,0
"carve_gam30_B=10select=0.95nActive=10",7.776,7.66,0,0.503619821171084,0.03
"split_gam30_B=10select=0.95nActive=10",7.776,7.66,0,0.503619821171084,0
"carve_gam5_B=10select=0.99nActive=5",11.019,4.318,0,0.718350216485984,0.042
"split_gam5_B=10select=0.99nActive=5",11.019,4.318,0,0.718350216485984,0
"carve_gam30_B=10select=0.99nActive=5",11.019,4.318,0,0.718350216485984,0.026
"split_gam30_B=10select=0.99nActive=5",11.019,4.318,0,0.718350216485984,0
"carve_gam5_B=10select=0.99nActive=2",13.356,2,0.01,0.869677131074687,0.59
"split_gam5_B=10select=0.99nActive=2",13.356,2,0,0.869677131074687,0
"carve_gam30_B=10select=0.99nActive=2",13.356,2,0,0.869677131074687,0.47
"split_gam30_B=10select=0.99nActive=2",13.356,2,0,0.869677131074687,0
"carve_gam5_B=10select=0.99nActive=50",6.713,8.693,0,0.435636223103995,0
"split_gam5_B=10select=0.99nActive=50",6.713,8.693,0,0.435636223103995,0
"carve_gam30_B=10select=0.99nActive=50",6.713,8.693,0,0.435636223103995,0
"split_gam30_B=10select=0.99nActive=50",6.713,8.693,0,0.435636223103995,0
"carve_gam5_B=10select=0.99nActive=10",7.707,7.736,0.01,0.498819571931163,0.017
"split_gam5_B=10select=0.99nActive=10",7.707,7.736,0,0.498819571931163,0
"carve_gam30_B=10select=0.99nActive=10",7.707,7.736,0,0.498819571931163,0.011
"split_gam30_B=10select=0.99nActive=10",7.707,7.736,0,0.498819571931163,0
"carve_gam5_B=20select=0.5nActive=5",13.0255,2.54,0.04,0.836840914715354,0.18
"split_gam5_B=20select=0.5nActive=5",13.0255,2.54,0.08,0.836840914715354,0.056
"carve_gam30_B=20select=0.5nActive=5",13.0255,2.54,0,0.836840914715354,0.096
"split_gam30_B=20select=0.5nActive=5",13.0255,2.54,0,0.836840914715354,0
"carve_gam5_B=20select=0.5nActive=2",13.6905,1.9785,0,0.873725335573194,0.99
"split_gam5_B=20select=0.5nActive=2",13.6905,1.9785,0,0.873725335573194,0
"carve_gam30_B=20select=0.5nActive=2",13.6905,1.9785,0,0.873725335573194,0.985
"split_gam30_B=20select=0.5nActive=2",13.6905,1.9785,0,0.873725335573194,0
"carve_gam5_B=20select=0.5nActive=50",8.83,6.7395,0.12,0.567132533296157,0.0032
"split_gam5_B=20select=0.5nActive=50",8.83,6.7395,0,0.567132533296157,0
"carve_gam30_B=20select=0.5nActive=50",8.83,6.7395,0.02,0.567132533296157,0
"split_gam30_B=20select=0.5nActive=50",8.83,6.7395,0,0.567132533296157,0
"carve_gam5_B=20select=0.5nActive=10",11.0105,4.614,0,0.704725596026624,0.129
"split_gam5_B=20select=0.5nActive=10",11.0105,4.614,0.15,0.704725596026624,0.076
