"","EV","ERV","FWER","FDR","Power"
"carve_gam5_B=10select=0.75n=100p=133",10.679,4.957,0,0.68292063454609,0.376
"split_gam5_B=10select=0.75n=100p=133",10.679,4.957,0,0.68292063454609,0
"carve_gam30_B=10select=0.75n=100p=133",10.679,4.957,0,0.68292063454609,0.454
"split_gam30_B=10select=0.75n=100p=133",10.679,4.957,0,0.68292063454609,0
"carve_gam5_B=10select=0.75n=200p=200",10.35,4.998,0,0.674270460763584,0.996
"split_gam5_B=10select=0.75n=200p=200",10.35,4.998,0.07,0.674270460763584,0.07
"carve_gam30_B=10select=0.75n=200p=200",10.35,4.998,0,0.674270460763584,0.99
"split_gam30_B=10select=0.75n=200p=200",10.35,4.998,0,0.674270460763584,0
"carve_gam5_B=10select=0.75n=600p=200",26.928,5,0.09,0.843370391937384,1
"split_gam5_B=10select=0.75n=600p=200",26.928,5,0,0.843370391937384,0
"carve_gam30_B=10select=0.75n=600p=200",26.928,5,0.01,0.843370391937384,1
"split_gam30_B=10select=0.75n=600p=200",26.928,5,0,0.843370391937384,0
"carve_gam5_B=10select=0.75n=50p=1000",6.226,1.315,0.02,0.825631523380299,0.01
"split_gam5_B=10select=0.75n=50p=1000",6.226,1.315,0.01,0.825631523380299,0.006
"carve_gam30_B=10select=0.75n=50p=1000",6.226,1.315,0,0.825631523380299,0.002
"split_gam30_B=10select=0.75n=50p=1000",6.226,1.315,0,0.825631523380299,0
"carve_gam5_B=10select=0.9n=100p=200",11.31,4.048,0.06,0.736359218358741,0.148
"split_gam5_B=10select=0.9n=100p=200",11.31,4.048,0,0.736359218358741,0
"carve_gam30_B=10select=0.9n=100p=200",11.31,4.048,0,0.736359218358741,0.07
"split_gam30_B=10select=0.9n=100p=200",11.31,4.048,0,0.736359218358741,0
"carve_gam5_B=10select=0.9n=50p=200",4.476,3.247,0.01,0.579450429384278,0.048
"split_gam5_B=10select=0.9n=50p=200",4.476,3.247,0,0.579450429384278,0
"carve_gam30_B=10select=0.9n=50p=200",4.476,3.247,0,0.579450429384278,0.032
"split_gam30_B=10select=0.9n=50p=200",4.476,3.247,0,0.579450429384278,0
"carve_gam5_B=10select=0.9n=100p=133",10.513,4.994,0,0.677864120394403,0.444
"split_gam5_B=10select=0.9n=100p=133",10.513,4.994,0,0.677864120394403,0
"carve_gam30_B=10select=0.9n=100p=133",10.513,4.994,0,0.677864120394403,0.472
"split_gam30_B=10select=0.9n=100p=133",10.513,4.994,0,0.677864120394403,0
"carve_gam5_B=10select=0.9n=200p=200",10.313,5,0.01,0.673370620959266,0.996
"split_gam5_B=10select=0.9n=200p=200",10.313,5,0,0.673370620959266,0
"carve_gam30_B=10select=0.9n=200p=200",10.313,5,0.01,0.673370620959266,0.988
"split_gam30_B=10select=0.9n=200p=200",10.313,5,0,0.673370620959266,0
"carve_gam5_B=10select=0.9n=600p=200",26.73,5,0.05,0.842382730949843,1
"split_gam5_B=10select=0.9n=600p=200",26.73,5,0,0.842382730949843,0
"carve_gam30_B=10select=0.9n=600p=200",26.73,5,0.01,0.842382730949843,1
"split_gam30_B=10select=0.9n=600p=200",26.73,5,0,0.842382730949843,0
"carve_gam5_B=10select=0.9n=50p=1000",5.662,1.876,0,0.751152870202425,0
